mid ,date ,venue,bat_team,bow_team,batsman,bowler,runs,wickets,overs,runs_last5,wickets_last 5,striker,nonstriker,total
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,saha,umeshyadav,0,0,0.1,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,saha,umeshyadav,1,0,0.2,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,gill,umeshyadav,2,0,0.3,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,saha,umeshyadav,2,0,0.4,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,saha,umeshyadav,3,0,0.5,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,gill,umeshyadav,4,0,0.6,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,gill,thakur,5,0,1.1,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,saha,thakur,9,0,1.2,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,saha,thakur,10,0,1.3,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,gill,thakur,11,0,1.4,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,saha,thakur,12,0,1.5,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,saha,thakur,13,0,1.5,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,gill,thakur,17,0,1.6,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,saha,umeshyadav,18,0,2.1,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,gill,umeshyadav,19,0,2.2,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,saha,umeshyadav,19,0,2.3,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,saha,umeshyadav,19,0,2.4,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,saha,umeshyadav,20,0,2.5,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,saha,umeshyadav,24,0,2.5,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,saha,umeshyadav,24,0,2.6,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,gill,ferguson,24,0,3.1,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,gill,ferguson,25,0,3.2,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,saha,ferguson,29,0,3.3,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,saha,ferguson,29,0,3.4,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,saha,ferguson,30,0,3.5,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,saha,ferguson,31,0,3.5,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,gill,ferguson,31,0,3.6,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,saha,narine,33,0,4.1,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,saha,narine,33,1,4.2,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,sai sudharshan,narine,34,1,4.3,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,sai sudharshan,narine,34,1,4.3,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,sai sudharshan,narine,34,1,4.4,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,sai sudharshan,narine,38,1,4.5,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,sai sudharshan,narine,38,1,4.6,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,gill,chakravarthy,39,1,5.1,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,sai sudharshan,chakravarthy,40,1,5.2,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,gill,chakravarthy,40,1,5.3,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,gill,chakravarthy,45,1,5.4,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,gill,chakravarthy,49,1,5.4,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,gill,chakravarthy,53,1,5.5,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,gill,chakravarthy,54,1,5.6,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,gill,narine,55,1,6.1,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,sai sudharshan,narine,56,1,6.2,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,gill,narine,56,1,6.3,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,gill,narine,57,1,6.4,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,sai sudharshan,narine,58,1,6.5,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,gill,narine,62,1,6.6,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,sai sudharshan,suyashsharma,63,1,7.1,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,gill,suyashsharma,63,1,7.2,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,gill,suyashsharma,64,1,7.3,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,sai sudharshan,suyashsharma,68,1,7.4,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,sai sudharshan,suyashsharma,68,1,7.5,,,,,204
