mid,date,venue,,batting_team,bowling_team,striker,non_striker,bowler,runs,wickets,ball,runs_last_5,wickets_last_5,total
1,28-03-2022,"Wankhede Stadium, Mumbai",,Lucknow Super Giants,Gujarat Titans,KL Rahul,Q de Kock,Mohammed Shami,0,1,0.1,0,1,161
1,28-03-2022,"Wankhede Stadium, Mumbai",,Lucknow Super Giants,Gujarat Titans,E Lewis,Q de Kock,Mohammed Shami,1,1,0.2,1,1,161
1,28-03-2022,"Wankhede Stadium, Mumbai",,Lucknow Super Giants,Gujarat Titans,Q de Kock,E Lewis,Mohammed Shami,0,1,0.3,1,1,161
1,28-03-2022,"Wankhede Stadium, Mumbai",,Lucknow Super Giants,Gujarat Titans,Q de Kock,E Lewis,Mohammed Shami,2,1,0.4,2,1,161
1,28-03-2022,"Wankhede Stadium, Mumbai",,Lucknow Super Giants,Gujarat Titans,E Lewis,Q de Kock,Mohammed Shami,0,1,0.5,2,1,161
1,28-03-2022,"Wankhede Stadium, Mumbai",,Lucknow Super Giants,Gujarat Titans,E Lewis,Q de Kock,Mohammed Shami,0,1,0.6,2,1,161
1,28-03-2022,"Wankhede Stadium, Mumbai",,Lucknow Super Giants,Gujarat Titans,Q de Kock,E Lewis,VR Aaron,0,1,1.1,2,1,161
1,28-03-2022,"Wankhede Stadium, Mumbai",,Lucknow Super Giants,Gujarat Titans,Q de Kock,E Lewis,VR Aaron,3,1,1.2,3,1,161
1,28-03-2022,"Wankhede Stadium, Mumbai",,Lucknow Super Giants,Gujarat Titans,E Lewis,Q de Kock,VR Aaron,7,1,1.3,7,1,161
1,28-03-2022,"Wankhede Stadium, Mumbai",,Lucknow Super Giants,Gujarat Titans,E Lewis,Q de Kock,VR Aaron,8,1,1.4,8,1,161
1,28-03-2022,"Wankhede Stadium, Mumbai",,Lucknow Super Giants,Gujarat Titans,Q de Kock,E Lewis,VR Aaron,8,1,1.5,8,1,161
1,28-03-2022,"Wankhede Stadium, Mumbai",,Lucknow Super Giants,Gujarat Titans,Q de Kock,E Lewis,VR Aaron,9,1,1.6,9,1,161
1,28-03-2022,"Wankhede Stadium, Mumbai",,Lucknow Super Giants,Gujarat Titans,Q de Kock,E Lewis,Mohammed Shami,13,1,2.1,13,1,161
1,28-03-2022,"Wankhede Stadium, Mumbai",,Lucknow Super Giants,Gujarat Titans,Q de Kock,E Lewis,Mohammed Shami,13,1,2.2,13,1,161
1,28-03-2022,"Wankhede Stadium, Mumbai",,Lucknow Super Giants,Gujarat Titans,Q de Kock,E Lewis,Mohammed Shami,13,2,2.3,13,2,161
1,28-03-2022,"Wankhede Stadium, Mumbai",,Lucknow Super Giants,Gujarat Titans,MK Pandey,E Lewis,Mohammed Shami,14,2,2.4,14,2,161
1,28-03-2022,"Wankhede Stadium, Mumbai",,Lucknow Super Giants,Gujarat Titans,E Lewis,MK Pandey,Mohammed Shami,14,2,2.5,14,2,161
1,28-03-2022,"Wankhede Stadium, Mumbai",,Lucknow Super Giants,Gujarat Titans,E Lewis,MK Pandey,Mohammed Shami,14,2,2.6,14,2,161
1,28-03-2022,"Wankhede Stadium, Mumbai",,Lucknow Super Giants,Gujarat Titans,MK Pandey,E Lewis,VR Aaron,15,2,3.1,15,2,161
1,28-03-2022,"Wankhede Stadium, Mumbai",,Lucknow Super Giants,Gujarat Titans,MK Pandey,E Lewis,VR Aaron,16,2,3.2,16,2,161
